Epoch: 0, NMI against class labels: 0.061, domain labels: 0.826, previous assignment: -0.000
Epoch: 1, NMI against class labels: 0.060, domain labels: 0.777, previous assignment: 0.857
Epoch: 2, NMI against class labels: 0.060, domain labels: 0.780, previous assignment: 0.937
Epoch: 3, NMI against class labels: 0.060, domain labels: 0.782, previous assignment: 0.943
Epoch: 4, NMI against class labels: 0.060, domain labels: 0.792, previous assignment: 0.964
Epoch: 5, NMI against class labels: 0.061, domain labels: 0.789, previous assignment: 0.961
Epoch: 6, NMI against class labels: 0.060, domain labels: 0.791, previous assignment: 0.927
Epoch: 7, NMI against class labels: 0.060, domain labels: 0.790, previous assignment: 0.919
Epoch: 8, NMI against class labels: 0.059, domain labels: 0.784, previous assignment: 0.935
Epoch: 9, NMI against class labels: 0.061, domain labels: 0.790, previous assignment: 0.957
Epoch: 10, NMI against class labels: 0.061, domain labels: 0.791, previous assignment: 0.932
Epoch: 11, NMI against class labels: 0.060, domain labels: 0.799, previous assignment: 0.937
Epoch: 12, NMI against class labels: 0.060, domain labels: 0.802, previous assignment: 0.955
Epoch: 13, NMI against class labels: 0.061, domain labels: 0.798, previous assignment: 0.933
Epoch: 14, NMI against class labels: 0.060, domain labels: 0.808, previous assignment: 0.929
Epoch: 15, NMI against class labels: 0.060, domain labels: 0.802, previous assignment: 0.964
Epoch: 16, NMI against class labels: 0.060, domain labels: 0.812, previous assignment: 0.949
Epoch: 17, NMI against class labels: 0.060, domain labels: 0.808, previous assignment: 0.956
Epoch: 18, NMI against class labels: 0.060, domain labels: 0.799, previous assignment: 0.919
Epoch: 19, NMI against class labels: 0.060, domain labels: 0.808, previous assignment: 0.940
Epoch: 20, NMI against class labels: 0.060, domain labels: 0.806, previous assignment: 0.954
Epoch: 21, NMI against class labels: 0.060, domain labels: 0.794, previous assignment: 0.962
Epoch: 22, NMI against class labels: 0.060, domain labels: 0.805, previous assignment: 0.952
Epoch: 23, NMI against class labels: 0.061, domain labels: 0.805, previous assignment: 0.941
Epoch: 24, NMI against class labels: 0.060, domain labels: 0.811, previous assignment: 0.927
Epoch: 25, NMI against class labels: 0.060, domain labels: 0.809, previous assignment: 0.980
Epoch: 26, NMI against class labels: 0.061, domain labels: 0.805, previous assignment: 0.975
Epoch: 27, NMI against class labels: 0.061, domain labels: 0.803, previous assignment: 0.982
Epoch: 28, NMI against class labels: 0.060, domain labels: 0.808, previous assignment: 0.978
Epoch: 29, NMI against class labels: 0.061, domain labels: 0.806, previous assignment: 0.977
Epoch: 30, NMI against class labels: 0.061, domain labels: 0.805, previous assignment: 0.993
Epoch: 31, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.979
Epoch: 32, NMI against class labels: 0.061, domain labels: 0.808, previous assignment: 0.992
Epoch: 33, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.992
Epoch: 34, NMI against class labels: 0.061, domain labels: 0.808, previous assignment: 0.991
Epoch: 35, NMI against class labels: 0.061, domain labels: 0.803, previous assignment: 0.983
Epoch: 36, NMI against class labels: 0.060, domain labels: 0.802, previous assignment: 0.989
Epoch: 37, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.982
Epoch: 38, NMI against class labels: 0.061, domain labels: 0.803, previous assignment: 0.981
Epoch: 39, NMI against class labels: 0.061, domain labels: 0.805, previous assignment: 0.982
Epoch: 40, NMI against class labels: 0.061, domain labels: 0.806, previous assignment: 0.989
Epoch: 41, NMI against class labels: 0.060, domain labels: 0.807, previous assignment: 0.991
Epoch: 42, NMI against class labels: 0.060, domain labels: 0.807, previous assignment: 0.992
Epoch: 43, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.991
Epoch: 44, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.990
Epoch: 45, NMI against class labels: 0.061, domain labels: 0.805, previous assignment: 0.986
Epoch: 46, NMI against class labels: 0.061, domain labels: 0.804, previous assignment: 0.993
Epoch: 47, NMI against class labels: 0.061, domain labels: 0.804, previous assignment: 0.992
Epoch: 48, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.987
Epoch: 49, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.999
Epoch: 50, NMI against class labels: 0.061, domain labels: 0.806, previous assignment: 0.998
Epoch: 51, NMI against class labels: 0.061, domain labels: 0.806, previous assignment: 0.998
Epoch: 52, NMI against class labels: 0.061, domain labels: 0.806, previous assignment: 1.000
Epoch: 53, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.998
Epoch: 54, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 1.000
Epoch: 55, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.999
Epoch: 56, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 1.000
Epoch: 57, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 1.000
Epoch: 58, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 0.999
Epoch: 59, NMI against class labels: 0.061, domain labels: 0.807, previous assignment: 1.000
